,ID,Channel,Title,Duration,Release Date,Views,Likes,Comments,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Month 1,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12
0,Pszw2Wp6BS8,SMTOWN,SM_NCT # 1. The origin,00:04:11,2016-01-28 08:00:00,2087932.0,134795.0,6214.0,197.0,82.0,55.0,58.0,40.0,53.0,55.0,49.0,50.0,31.0,18.0,14.0,23.0,17.0,30.0,25.0,21.0,24.0,15.0,22.0,8.0,13.0,22.0,16.0,938.0,222.0,98.0,82.0,29.0,47.0,16.0,1511.0,13.0,117.0,28.0,22.0,19.0,25.0,17.0,7.0,8.0,7.0,25.0
1,YaVbeIFQIZQ,SMTOWN,SM_NCT # 2. Synchronization of your dreams,00:02:57,2016-01-28 08:00:00,3687430.0,189324.0,8196.0,256.0,94.0,83.0,73.0,76.0,75.0,72.0,69.0,69.0,50.0,37.0,47.0,42.0,39.0,51.0,45.0,44.0,34.0,27.0,28.0,25.0,24.0,27.0,27.0,1414.0,304.0,189.0,116.0,61.0,78.0,38.0,2474.0,88.0,402.0,92.0,37.0,54.0,52.0,55.0,19.0,23.0,27.0,50.0
2,nFMSpKYTSxs,SMTOWN,SM_NCT# 3. 7th Sense,00:03:17,2016-02-02 02:00:00,2242663.0,141608.0,4873.0,210.0,82.0,61.0,51.0,32.0,35.0,25.0,30.0,21.0,37.0,20.0,10.0,26.0,25.0,17.0,19.0,10.0,6.0,13.0,6.0,11.0,5.0,4.0,6.0,762.0,99.0,51.0,48.0,33.0,14.0,12.0,1119.0,39.0,210.0,47.0,50.0,72.0,45.0,43.0,18.0,16.0,23.0,31.0
3,3UGMDJ9kZCA,SMTOWN,NCT U 엔시티 유 '일곱 번째 감각 (The 7th Sense)' MV,00:03:39,2016-04-09 01:00:01,119653692.0,2057794.0,160339.0,2167.0,1194.0,871.0,646.0,601.0,472.0,428.0,477.0,453.0,415.0,333.0,420.0,364.0,302.0,340.0,270.0,234.0,196.0,176.0,145.0,137.0,187.0,119.0,144.0,11091.0,2450.0,1261.0,908.0,649.0,542.0,433.0,22148.0,1682.0,1173.0,886.0,815.0,1008.0,699.0,572.0,811.0,847.0,1032.0,878.0
4,y6OcvS54KYQ,SMTOWN,NCT U 엔시티 유 'WITHOUT YOU' MV,00:03:32,2016-04-10 01:00:01,24389587.0,646812.0,25548.0,1148.0,478.0,314.0,277.0,206.0,162.0,156.0,164.0,133.0,110.0,91.0,100.0,110.0,113.0,89.0,87.0,70.0,59.0,33.0,48.0,52.0,41.0,44.0,37.0,4122.0,623.0,401.0,246.0,187.0,139.0,135.0,6810.0,372.0,263.0,195.0,225.0,154.0,95.0,110.0,155.0,145.0,186.0,139.0
5,yTmR-ogUXqo,SMTOWN,NCT U 엔시티 유 '일곱 번째 감각 (The 7th Sense)' Performance Video,00:03:40,2016-04-11 01:00:00,20197568.0,529884.0,18683.0,775.0,357.0,229.0,173.0,165.0,125.0,103.0,105.0,67.0,94.0,90.0,71.0,64.0,84.0,85.0,54.0,56.0,56.0,41.0,36.0,45.0,32.0,33.0,32.0,2972.0,546.0,354.0,244.0,203.0,185.0,118.0,5429.0,306.0,246.0,215.0,170.0,182.0,134.0,82.0,144.0,147.0,143.0,117.0
6,kgWdgwukIj8,SMTOWN,NCT U 엔시티 유 'WITHOUT YOU (Chinese Ver.)' MV,00:03:32,2016-04-12 03:00:00,1720694.0,88961.0,3849.0,431.0,116.0,62.0,73.0,36.0,30.0,35.0,41.0,43.0,31.0,23.0,20.0,18.0,19.0,15.0,7.0,12.0,15.0,12.0,9.0,6.0,12.0,10.0,8.0,1084.0,89.0,49.0,46.0,31.0,23.0,13.0,1420.0,38.0,22.0,26.0,18.0,18.0,11.0,5.0,8.0,24.0,27.0,18.0
7,_psXn_VJ_AE,SMTOWN,NCT 127 엔시티 127 '소방차 (Fire Truck)' MV,00:03:18,2016-07-07 03:00:01,43694617.0,1052072.0,48567.0,5472.0,1259.0,874.0,643.0,503.0,408.0,411.0,456.0,350.0,281.0,281.0,279.0,252.0,228.0,238.0,169.0,188.0,175.0,178.0,148.0,116.0,128.0,87.0,102.0,13226.0,1372.0,740.0,492.0,346.0,247.0,162.0,18020.0,755.0,489.0,334.0,289.0,268.0,238.0,236.0,200.0,196.0,173.0,275.0
8,uwMngvoyYMw,SMTOWN,[STATION] NCT 127 엔시티 127 'Taste The Feeling' MV,00:02:52,2016-07-28 15:00:04,6391665.0,302739.0,11762.0,1339.0,391.0,261.0,181.0,144.0,115.0,113.0,116.0,91.0,81.0,62.0,79.0,66.0,49.0,42.0,35.0,43.0,40.0,50.0,35.0,38.0,33.0,40.0,21.0,3465.0,296.0,235.0,81.0,62.0,52.0,33.0,4641.0,185.0,79.0,93.0,119.0,98.0,99.0,56.0,69.0,57.0,58.0,86.0
9,fwmvF5ffmhg,SMTOWN,NCT DREAM 엔시티 드림 'Chewing Gum' MV,00:03:21,2016-08-24 12:00:02,78346302.0,1818047.0,97887.0,5928.0,1953.0,1481.0,1041.0,794.0,613.0,513.0,488.0,384.0,432.0,462.0,345.0,318.0,301.0,325.0,266.0,236.0,218.0,204.0,208.0,207.0,204.0,195.0,150.0,17266.0,2150.0,1285.0,1000.0,649.0,512.0,404.0,26754.0,1172.0,615.0,601.0,743.0,748.0,375.0,411.0,418.0,407.0,519.0,555.0
10,Xuj53F50rv4,SMTOWN,NCT DREAM 엔시티 드림 'Chewing Gum (泡泡糖) (Chinese Ver.)' MV,00:03:23,2016-08-24 13:01:01,4788065.0,212479.0,7088.0,731.0,247.0,145.0,97.0,73.0,62.0,46.0,46.0,40.0,60.0,28.0,28.0,37.0,38.0,23.0,28.0,19.0,20.0,18.0,25.0,25.0,15.0,14.0,11.0,1876.0,166.0,107.0,53.0,42.0,38.0,36.0,2578.0,86.0,50.0,31.0,53.0,34.0,18.0,24.0,12.0,21.0,16.0,17.0
11,cVwxC1t19Lc,SMTOWN,NCT 127 엔시티 127 'Switch (Feat. SR15B)' MV,00:03:23,2016-12-20 13:00:02,12357676.0,471521.0,21948.0,2905.0,1006.0,651.0,373.0,301.0,235.0,245.0,196.0,154.0,202.0,170.0,166.0,157.0,152.0,132.0,122.0,108.0,69.0,75.0,75.0,62.0,57.0,64.0,60.0,7737.0,655.0,291.0,138.0,93.0,75.0,93.0,9671.0,250.0,174.0,119.0,110.0,128.0,114.0,61.0,77.0,75.0,55.0,35.0
12,RW8iyJcmve4,SMTOWN,NCT 127 엔시티 127 '無限的我 (무한적아;Limitless)' MV #1 Rough Ver.,00:04:16,2017-01-04 15:00:02,8918282.0,365439.0,19796.0,3028.0,897.0,516.0,385.0,280.0,217.0,208.0,207.0,206.0,190.0,162.0,191.0,151.0,154.0,118.0,95.0,110.0,90.0,175.0,115.0,104.0,70.0,70.0,60.0,7799.0,668.0,318.0,238.0,149.0,120.0,88.0,10079.0,317.0,119.0,95.0,63.0,98.0,81.0,69.0,56.0,48.0,25.0,76.0
13,zmUn7V6uuZM,SMTOWN,NCT 127 엔시티 127 '無限的我 (무한적아;Limitless)' MV #2 Performance Ver.,00:04:09,2017-01-04 18:30:00,59311318.0,913736.0,37008.0,805.0,308.0,217.0,234.0,230.0,252.0,168.0,170.0,156.0,130.0,133.0,114.0,104.0,66.0,85.0,72.0,84.0,65.0,66.0,67.0,68.0,48.0,41.0,30.0,3713.0,594.0,360.0,210.0,159.0,168.0,144.0,6948.0,1092.0,611.0,548.0,366.0,490.0,277.0,266.0,215.0,254.0,162.0,273.0
14,4pUc7SD0PmU,SMTOWN,NCT DREAM 엔시티 드림 '마지막 첫사랑 (My First and Last)' MV,00:03:27,2017-02-08 15:00:00,29994455.0,861186.0,30054.0,3665.0,834.0,496.0,299.0,232.0,266.0,268.0,321.0,303.0,223.0,190.0,168.0,145.0,117.0,115.0,96.0,92.0,85.0,116.0,119.0,98.0,106.0,91.0,92.0,8537.0,607.0,302.0,225.0,105.0,123.0,115.0,10536.0,251.0,213.0,176.0,158.0,167.0,103.0,60.0,57.0,38.0,52.0,59.0
15,V-Avlk8ZZVk,SMTOWN,NCT DREAM 엔시티 드림 '最後的初戀 (My First and Last)' MV,00:03:27,2017-02-08 15:00:02,1067295.0,64671.0,2062.0,724.0,108.0,52.0,43.0,26.0,31.0,26.0,17.0,30.0,26.0,28.0,21.0,16.0,8.0,17.0,8.0,13.0,10.0,2.0,12.0,6.0,6.0,8.0,8.0,1246.0,37.0,28.0,6.0,6.0,2.0,1.0,1336.0,1.0,5.0,4.0,2.0,4.0,2.0,2.0,0.0,0.0,0.0,1.0
16,1Opsx733bfg,SMTOWN,NCT DREAM 엔시티 드림 '마지막 첫사랑 (My First and Last)' Performance Video,00:03:22,2017-02-10 15:00:00,8431408.0,241037.0,5201.0,475.0,146.0,84.0,60.0,44.0,38.0,43.0,38.0,46.0,46.0,44.0,41.0,35.0,37.0,28.0,20.0,13.0,16.0,14.0,18.0,14.0,13.0,11.0,12.0,1336.0,159.0,69.0,33.0,23.0,19.0,21.0,1788.0,82.0,66.0,57.0,69.0,49.0,32.0,17.0,15.0,10.0,18.0,27.0
