,ID,Channel,Title,Duration,Release Date,Views,Likes,Comments
0,Pszw2Wp6BS8,SMTOWN,SM_NCT # 1. The origin,00:04:11,2016-01-28 08:00:00,2089204,134786,6211
1,YaVbeIFQIZQ,SMTOWN,SM_NCT # 2. Synchronization of your dreams,00:02:57,2016-01-28 08:00:00,3689514,189333,8192
2,nFMSpKYTSxs,SMTOWN,SM_NCT# 3. 7th Sense,00:03:17,2016-02-02 02:00:00,2243962,141603,4833
3,3UGMDJ9kZCA,SMTOWN,NCT U 엔시티 유 '일곱 번째 감각 (The 7th Sense)' MV,00:03:39,2016-04-09 01:00:01,119842440,2058571,160363
4,y6OcvS54KYQ,SMTOWN,NCT U 엔시티 유 'WITHOUT YOU' MV,00:03:32,2016-04-10 01:00:01,24421473,646975,25540
5,yTmR-ogUXqo,SMTOWN,NCT U 엔시티 유 '일곱 번째 감각 (The 7th Sense)' Performance Video,00:03:40,2016-04-11 01:00:00,20228912,530102,18682
6,kgWdgwukIj8,SMTOWN,NCT U 엔시티 유 'WITHOUT YOU (Chinese Ver.)' MV,00:03:32,2016-04-12 03:00:00,1721865,88959,3845
7,_psXn_VJ_AE,SMTOWN,NCT 127 엔시티 127 '소방차 (Fire Truck)' MV,00:03:18,2016-07-07 03:00:01,43792150,1052682,48560
8,uwMngvoyYMw,SMTOWN,[STATION] NCT 127 엔시티 127 'Taste The Feeling' MV,00:02:52,2016-07-28 15:00:04,6399578,302769,11761
9,fwmvF5ffmhg,SMTOWN,NCT DREAM 엔시티 드림 'Chewing Gum' MV,00:03:21,2016-08-24 12:00:02,78497223,1818639,97867
10,Xuj53F50rv4,SMTOWN,NCT DREAM 엔시티 드림 'Chewing Gum (泡泡糖) (Chinese Ver.)' MV,00:03:23,2016-08-24 13:01:01,4791963,212496,7078
11,cVwxC1t19Lc,SMTOWN,NCT 127 엔시티 127 'Switch (Feat. SR15B)' MV,00:03:23,2016-12-20 13:00:02,12374168,471628,21940
12,RW8iyJcmve4,SMTOWN,NCT 127 엔시티 127 '無限的我 (무한적아;Limitless)' MV #1 Rough Ver.,00:04:16,2017-01-04 15:00:02,8927634,365548,19792
13,zmUn7V6uuZM,SMTOWN,NCT 127 엔시티 127 '無限的我 (무한적아;Limitless)' MV #2 Performance Ver.,00:04:09,2017-01-04 18:30:00,59519738,914688,37057
14,4pUc7SD0PmU,SMTOWN,NCT DREAM 엔시티 드림 '마지막 첫사랑 (My First and Last)' MV,00:03:27,2017-02-08 15:00:00,30068619,861479,30046
15,V-Avlk8ZZVk,SMTOWN,NCT DREAM 엔시티 드림 '最後的初戀 (My First and Last)' MV,00:03:27,2017-02-08 15:00:02,1068919,64689,2061
16,1Opsx733bfg,SMTOWN,NCT DREAM 엔시티 드림 '마지막 첫사랑 (My First and Last)' Performance Video,00:03:22,2017-02-10 15:00:00,8442936,241087,5203
17,rpKcpAYovFo,SMTOWN,NCT DREAM 엔시티 드림 '最後的初戀 (My First and Last)' Performance Video,00:03:22,2017-02-10 15:00:04,556419,28957,589
18,V4gCv1CifJg,SMTOWN,[STATION] TEN 텐 '夢中夢 (몽중몽; Dream In A Dream)' MV,00:03:42,2017-04-07 03:00:01,13797888,614914,28927
19,wZxHQeJtNr4,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #1,00:06:02,2017-04-14 10:00:07,94788,9288,246
20,vZ7d_Hel8S0,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #2,00:06:40,2017-04-15 06:00:02,32904,3513,81
21,kVesN6wmRqA,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #3,00:06:12,2017-04-17 06:00:02,25651,2994,61
22,VB8D4dDvX3s,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #4,00:07:13,2017-04-18 06:00:01,24642,2729,50
23,_oiUDbTJWbk,NCT,[NCT LIFE MINI] NCT 127과 함께 하는 다시 돌아온 '음악게임' #5,00:11:07,2017-04-19 06:00:02,34987,2908,59
24,0wEMA_BdkMk,NCT,[NCT LIFE MINI] NCT 127 ‘롤러코스터(Heartbreaker)’ (Self-cam Ver.),00:03:19,2017-04-20 08:00:01,57353,7162,196
